Vietnam,,,,
A/B EV,B-MPV,C-MPV,B SUV,C-SUV
Vinfast VF3,MMC Xpander,Toyota Innova,Toyota Yaris Cross,Ford Territory
Vinfast VF5,Toyota Avanza,BYD M6,MMC Xforce,Honda CRV
"VF e34, VF6",Stargazer,Nissan Serena,Kia Seltos,"Tucson, Sportage"
"MG ZS, Omoda C5",Toyota Veloz Cross,,Creta,Mazda CX 5
Jaecoo J7,Limogreen,,Honda HRV,Toyota Corolla Cross
,,,,
,,,,
INDONESIA,,,,
A/B EV,B-MPV,C-MPV,B SUV,C-SUV
BYD Atto 1,Toyota Avanza,Toyota Innova,Honda HRV,MMC Destinator
BYD Dolphin,XL7,BYD M6,Hyundai Creta,Honda CRV
Jaecoo J5 EV,Xpander,Nissan Serena,MMC Xforce,Ioniq 5
Wuling Binguo EV,Stargazer,,Tiggo Cross,Aion V
Chery J6,Ertiga,,,Geely EX5
Chery Omoda E5,,,,BYD Atto3
,,,,
,,,,
PHILIPPINES,,,,
B-SUV,C-SUV,C-MPV,B-MPV,
Honda BRV,MMC Destinator,Innova,Stargazer,
Hyundai Creta,Honda CRV,,Xpander,
"MG ZS, MMC Xforce",Ford Territory,,Ertiga,
Toyota Rush,BYD Atto 3,,Avanza,
Toyota Yaris Cross,Geely Okavango,,,
Geely Coolray,VF 7,,,
