record_id,scraped_at,country,platform,platform_type,page_number,source_url,thread_id,thread_or_video_title,post_id,parent_post_id,author_id,author_username,post_date,post_date_normalized,content_original,Initial_Translation,car_brand,car_model,car_segment,Initial_parameter,Initial_sentiment,has_media,media_urls,like_count,reply_count,share_count,view_count,is_thread_opener,star_rating,star_rating_max,star_rating_available,scraper_version,raw_html_hash,enriched_content,has_context,is_semantic_duplicate,duplicate_of_id,similarity_score,content_quality_flag,wow_signal_hits
15a3c73f-3277-4e98-9403-5268b9f23b09,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@tinnhanhxehoi745,@tinnhanhxehoi745,4 tahun yang lalu,2022-07-01,"M?i các bác ghé shop ?? ch?i, trang trí xe h?i ??p r? t?i ?ây: https://shope.ee/6A62ip2Jlp",,Hyundai,Tucson,C-SUV,,Neutral,False,,0,0,0,0,True,,,False,youtube_scraper_v2,,"M?i các bác ghé shop ?? ch?i, trang trí xe h?i ??p r? t?i ?ây: https://shope.ee/6A62ip2Jlp",False,False,,,KEEP,
7ceeb299-c576-47aa-8557-d8df8b2da506,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@jakochi1356,@jakochi1356,4 tahun yang lalu,2022-07-01,Mua xe ???c t?ng kèm 1 thùng bia v?i b?ch l?c thì ngon nh?t r?i . H? m?n khách nên m?i nh? v?y ?ó . Kkka,,Hyundai,Tucson,C-SUV,,Neutral,False,,3,0,0,0,True,,,False,youtube_scraper_v2,,Mua xe ???c t?ng kèm 1 thùng bia v?i b?ch l?c thì ngon nh?t r?i . H? m?n khách nên m?i nh? v?y ?ó . Kkka,False,False,,,KEEP,ngon(100.0%)
88d35f43-b90d-48e8-8b0a-86511fc48039,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@viethungnguyen7992,@viethungnguyen7992,4 tahun yang lalu,2022-07-01,Vãi bà BTV ch? s? mo men xo?n bà ?y ??c là nano mét m?i vãi...,,Hyundai,Tucson,C-SUV,,Neutral,False,,1,0,0,0,True,,,False,youtube_scraper_v2,,Vãi bà BTV ch? s? mo men xo?n bà ?y ??c là nano mét m?i vãi...,False,False,,,KEEP,
cf911c0d-4a1c-4187-b311-c9cdd7779c33,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@cuongtruongdinhcuong1503,@cuongtruongdinhcuong1503,4 tahun yang lalu,2022-07-01,?oi mãi mà ?âu th?y xe v? ?âu,,Hyundai,Tucson,C-SUV,,Neutral,False,,1,0,0,0,True,,,False,youtube_scraper_v2,,?oi mãi mà ?âu th?y xe v? ?âu,False,False,,,KEEP,
0d953a66-ab1d-464f-889e-2bd4837c82c5,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@Tr%E1%BB%8DngB%E1%BA%A3o-n9t,@Tr?ngB?o-n9t,4 tahun yang lalu,2022-07-01,??c ti?ng Anh chán quá. ?? ngh? nên thay ng??i thuy?t minh.,,Hyundai,Tucson,C-SUV,,Neutral,False,,0,0,0,0,True,,,False,youtube_scraper_v2,,??c ti?ng Anh chán quá. ?? ngh? nên thay ng??i thuy?t minh.,False,False,,,KEEP,
bc265c45-cd04-44f4-a952-4630c36cde67,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@inhsonle5985,@inhsonle5985,4 tahun yang lalu,2022-07-01,"d?p cái gì, l?i thêm bia kèm l?c và bây gi?o nó ?ã thành thói quen cmnr",,Hyundai,Tucson,C-SUV,,Neutral,False,,1,0,0,0,True,,,False,youtube_scraper_v2,,"d?p cái gì, l?i thêm bia kèm l?c và bây gi?o nó ?ã thành thói quen cmnr",False,False,,,KEEP,
9418957a-d174-41b1-9712-d741e1c45c4f,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@ToanNguyen-yq2gh,@ToanNguyen-yq2gh,4 tahun yang lalu,2022-07-01,Giá có th? r? hoen tuc s?n th?t nh?ng ch?c ch?n b? c?t nhi?u trang b?,,Hyundai,Tucson,C-SUV,,Neutral,False,,0,0,0,0,True,,,False,youtube_scraper_v2,,Giá có th? r? hoen tuc s?n th?t nh?ng ch?c ch?n b? c?t nhi?u trang b?,False,False,,,KEEP,
23277e9b-07f1-4f88-8bec-541563f9a282,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@khanhlynguyen802,@khanhlynguyen802,4 tahun yang lalu,2022-07-01,S? pót tít,,Hyundai,Tucson,C-SUV,,Neutral,False,,0,0,0,0,True,,,False,youtube_scraper_v2,,S? pót tít,False,False,,,LOW_SIGNAL,
ff3c09e8-d4fc-4d82-a7b7-30a46c76ec66,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@haobui6044,@haobui6044,4 tahun yang lalu,2022-07-01,Xe ??p th? này thì t?i gì mua tucson,,Hyundai,Tucson,C-SUV,,Neutral,False,,2,745,0,0,True,,,False,youtube_scraper_v2,,Xe ??p th? này thì t?i gì mua tucson,False,False,,,KEEP,
a1136369-5288-4e8d-a5bb-fc0b1ee6610f,46203.73907,Vietnam,YouTube,video_comment,,https://www.youtube.com/watch?v=1tuG6IQ4l74&pp=ygUbVHVjc29uLCBTcG9ydGFnZSBWaeG7h3QgTmFt,1tuG6IQ4l74,"Kia Sportage v? Vi?t Nam, d?p n?n 'bia l?c' trên Hyundai Tucson?",,1tuG6IQ4l74,https://www.youtube.com/@tinnhanhxehoi745,@tinnhanhxehoi745,4 tahun yang lalu,2022-07-01,Chu?n luôn bác,,Hyundai,Tucson,C-SUV,,Neutral,False,,0,0,0,0,False,,,False,youtube_scraper_v2,,Chu?n luôn bác,False,False,,,LOW_SIGNAL,
